S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Death
1,Andhra Pradesh,9,0,0,0
2,Bihar,3,0,0,1
3,Chhattisgarh,1,0,0,0
4,Delhi,30,1,6,1
5,Gujarat,32,1,0,1
6,Haryana,14,14,11,0
7,Himachal Pradesh,3,0,0,1
8,Karnataka,41,0,3,1
9,Kerala,101,8,4,0
10,Madhya Pradesh,9,0,0,0
11,Maharashtra,98,3,0,2
12,Manipur,1,0,0,0
13,Mizoram,1,0,0,0
14,Odisha,2,0,0,0
15,Puducherry,1,0,0,0
16,Punjab,29,0,0,1
17,Rajasthan,30,2,3,0
18,Tamil Nadu,16,2,1,0
19,Telengana,25,10,1,0
20,Chandigarh,7,0,0,0
21,Jammu and Kashmir,7,0,1,0
22,Ladakh,13,0,0,0
23,Uttar Pradesh,34,1,11,0
24,Uttarakhand,3,1,0,0
25,West Bengal,9,0,0,1
